Dataset_CIFAR-10,Dataset_CIFAR-100,Dataset_COCO,Dataset_COCO minivar,Dataset_CityScapes,Dataset_ImageNet,Dataset_KITTI,Dataset_MNIST,Dataset_NYU Depth v2,Dataset_SVHN,Dataset_ShapeNet,Task_Depth Estimation,Task_Image Classification,Task_Object Detection,Task_Semantic Segmentation,Task_Text to Image,accuracy_norm,difficulty
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8686567164179103,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8686567164179103,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8668656716417908,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8656716417910448,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8626865671641789,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8626865671641789,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8626865671641789,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8626865671641789,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8626865671641789,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8626865671641789,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8614925373134329,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8597014925373134,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8597014925373134,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8567164179104475,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8549253731343284,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8537313432835819,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8537313432835819,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8537313432835819,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8537313432835819,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8537313432835819,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8510447761194028,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8507462686567164,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8507462686567164,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8507462686567164,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8507462686567164,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8507462686567164,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8477611940298505,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8477611940298505,0.7801000883132175
