name|accuracy|params|tags|id
GCNet (ResNeXt-101 + DCN + cascade + GC r16)|47.9|null|['GCN', 'DCN', 'ResNeXt']|null
MAE-Det(MAE-Det-L+GFLV2)|47.8|null|[']']|null
Res2Net101+HTC|47.5|null|[']']|null
Mask R-CNN (ResNet-101-FPN, GN, Cascade)|47.4|null|['FPN', 'ResNet']|null
Pix2seq (R50-C4)|47.3|null|[']']|null
Pix2seq (ViT-B)|47.1|null|[']']|null
HTC (HRNetV2p-W48)|47.0|null|[']']|null
PatchConvNet-S120 (Mask R-CNN)|47.0|null|[']']|null
RPDet (ResNeXt-101-DCN, multi-scale)|46.8|null|['DCN', 'multiscale', 'ResNeXt']|null
DyHead (ResNet-101)|46.5|null|[']']|null
Mask R-CNN (ResNeXt-152-FPN)|46.4|null|['FPN', 'ResNeXt']|null
RPDet (ResNet-101-DCN, multi-scale)|46.4|null|['DCN', 'multiscale', 'ResNet']|null
PatchConvNet-S60 (Mask R-CNN)|46.4|null|[']']|null
Cascade Mask R-CNN (ResNet-50)|46.3|null|[']']|null
HoughNet (HG-104, MS)|46.1|null|[']']|null
Mask R-CNN (HRNetV2p-W48, cascade)|46.0|null|[']']|null
BoTNet 50 (72 epochs)|45.9|null|['Transformer']|null
Sparse R-CNN (ResNet-101, learnable proposals, random crop aug, FPN)|45.6|null|['FPN', 'ResNet']|null
CenterMask+VoVNetV2-99 (single-scale)|45.6|null|['single scale']|null
HTC (HRNetV2p-W32)|45.3|null|[']']|null
Mask R-CNN (ResNeXt-152 + 1 NL)|45.0|null|['ResNeXt']|null
Pix2seq (R101-DC5)|45.0|null|['ResNet-101']|null
Mask R-CNN-FPN (AOGNet-40M)|44.9|null|['FPN']|null
DETR-DC5 (ResNet-101)|44.9|null|['ResNet']|null
Mask R-CNN (VoVNetV2-99, single-scale)|44.9|null|['single scale']|null
R3-CNN (ResNet-50-FPN, DCN)|44.8|null|['DCN', 'FPN', 'ResNet']|null
RPDet (ResNet-101-DCN, multi-scale train)|44.8|null|['DCN', 'multiscale', 'ResNet']|null
RetinaNet (ViL-Base, multi-scale, 3x)|44.7|null|['Transformer', 'multiscale']|null
Cascade R-CNN (HRNetV2p-W48)|44.6|null|[']']|null
CenterMask+VoVNetV2-57 (single-scale)|44.6|null|['single scale']|null
Sparse R-CNN (ResNet-50, learnable proposals, random crop aug, FPN)|44.5|null|['FPN', 'ResNet']|null
GFL (ResNet-50)|44.5|null|[']']|null
RPDet (ResNeXt-101-DCN)|44.5|null|['DCN', 'ResNeXt']|null
CenterMask+X101-32x8d (single-scale)|44.4|null|['single scale']|null
RetinaNet (ViL-Base)|44.3|null|['Transformer']|null
R3-CNN (ResNet-50-FPN, GC-Net)|44.3|null|[']']|null
Faster RCNN-R101-FPN+|44|null|['FPN']|null
Cascade R-CNN (HRNetV2p-W32)|43.7|null|[']']|null
Sparse R-CNN (ResNet-101, FPN)|43.5|null|['FPN', 'ResNet']|null
ATSS (ResNet-50)|43.5|null|[']']|null
PVT-Large (RetinaNet 3x,MS)|43.4|null|[']']|null
ExtremeNet (Hourglass-104, multi-scale)|43.3|null|['multiscale']|null
Pix2seq (R50-DC5 )|43.2|null|['ResNet-50']|null
HTC (cascade)|43.2|null|[']']|null
Mask R-CNN-FPN (ResNeXt-101, GN+WS)|43.12|null|['FPN', 'ResNeXt']|null
HTC (HRNetV2p-W18)|43.1|null|[']']|null
Mask R-CNN (ResNet-101, DCNv2)|43.1|null|['DCN', 'ResNet']|null
HoughNet (HG-104)|43.0|null|[']']|null
Faster R-CNN (FPN, X-volution)|42.8|null|['FPN']|null
Cascade R-CNN (ResNet-101-FPN+, cascade)|42.7|null|['FPN', 'ResNet']|null
PVT-Large (RetinaNet 1x)|42.6|null|[']']|null
CornerNet-Saccade (Hourglass-54)|42.6|null|[']']|null
Pix2seq (R50)|42.6|null|[']']|null
Mask R-CNN (ResNet-101-FPN, GroupNorm, long)|42.3|null|['FPN', 'ResNet']|null
Sparse R-CNN (ResNet-50, FPN)|42.3|null|['FPN', 'ResNet']|null
Mask R-CNN (HRNetV2p-W32)|42.3|null|[']']|null
DETR-ResNet50 with iRPE-K (300 epochs)|42.3|null|[']']|null
TridentNet (ResNet-101)|42|null|['ResNet']|null
R3-CNN (ResNet-50-FPN)|42|null|['FPN', 'ResNet']|null
Faster R-CNN (HRNetV2p-W48)|41.8|null|[']']|null
Faster R-CNN (LIP-ResNet-101)|41.7|null|[']']|null
Faster R-CNN (ResNet-101, DCNv2)|41.7|null|['DCN', 'ResNet']|null
FSAF (ResNeXt-101, anchor-based branches)|41.6|null|['ResNeXt']|null
CornerNet-Saccade (Hourglass-104)|41.4|null|[']']|null
Grid R-CNN (ResNet-101-FPN)|41.3|null|['FPN', 'ResNet']|null
Cascade R-CNN (HRNetV2p-W18)|41.3|null|[']']|null
CenterNet511 (Hourglass-52)|41.3|null|[']']|null
RetinaMask (ResNet-101-FPN)|41.1|null|['FPN', 'ResNet']|null
PoolFormer-S36 (Mask R-CNN)|41.0|null|[']']|null
Faster R-CNN (HRNetV2p-W32)|40.9|null|[']']|null
VirTex Mask R-CNN (ResNet-50-FPN)|40.9|null|['FPN', 'ResNet']|null
Mask R-CNN (ResNet-101 + 1 NL)|40.8|null|['ResNet']|null
Mask R-CNN (ResNet-50-FPN, GroupNorm, long)|40.8|null|['FPN', 'ResNet']|null
RPDet (ResNet-50, multi-scale train)|40.8|null|['multiscale', 'ResNet']|null
DETR-ResNet50 with iRPE-K (150 epochs)|40.8|null|[']']|null
Faster R-CNN+aLRP Loss (ResNet-50, 500 scale)|40.7|null|['ResNet']|null
PPDet (ResNet-101-FPN)|40.5|null|['FPN', 'ResNet']|null
GCnet (ResNet-50-FPN, GRoIE)|40.3|null|['FPN', 'ResNet']|null
Mask R-CNN (ResNet-50-FPN, GroupNorm)|40.3|null|['FPN', 'ResNet']|null
Cascade R-CNN (ResNet-50-FPN+)|40.3|null|['FPN', 'ResNet']|null
ExtremeNet (Hourglass-104, single-scale)|40.3|null|['single scale']|null
RPDet (ResNet-101)|40.3|null|['ResNet']|null
RetinaNet+aLRP Loss (ResNet-50, 500 scale)|40.2|null|['ResNet']|null
Mask R-CNN (ResNet-101-FPN)|40.0|null|['FPN', 'ResNet']|null
FPN+|39.8|null|['FPN']|null
FoveaBox+aLRP Loss (ResNet-50, 500 scale)|39.7|null|['ResNet']|null
Grid R-CNN (ResNet-50-FPN)|39.6|null|['FPN', 'ResNet']|null
Mask R-CNN (ResNet-50, ACNet)|39.5|null|['ResNet']|null
FSAF (ResNet-101, anchor-based branches)|39.3|null|['ResNet']|null
Mask R-CNN (HRNetV2p-W18)|39.2|null|[']']|null
Mask R-CNN (ResNet-50 + 1 NL)|39.0|null|['ResNet']|null
FoveaBox (ResNet-101-FPN, 800x800)|38.9|null|['FPN', 'ResNet']|null
FCOS (ResNet-50-FPN + improvements)|38.6 |null|['FPN', 'ResNet']|null
RPDet (ResNet-50)|38.6|null|['ResNet']|null
Libra R-CNN (ResNet-50 FPN)|38.5|null|['FPN', 'ResNet']|null
Mask R-CNN (ResNet-50-FPN, GRoIE)|38.4|null|['FPN', 'ResNet']|null
CornerNet511 (Hourglass-104)|38.4|null|[']']|null
FoveaBox+Retina (ResNet-50)|38.1|null|['ResNet']|null
Faster R-CNN (HRNetV2p-W18)|38.0|null|[']']|null
FoveaBox (ResNet-101-FPN, 600x600)|38|null|['FPN', 'ResNet']|null
FSAF (ResNet-101)|37.9|null|['ResNet']|null
Mask R-CNN (ResNet-50-FPN)|37.7|null|['FPN', 'ResNet']|null
Faster R-CNN (ResNet-50-FPN, GRoIE)|37.5|null|['FPN', 'ResNet']|null
Mask R-CNN (ResNeXt-101-FPN)|36.7|null|['FPN', 'ResNeXt']|null
FoveaBox (ResNet-50-FPN, 600x600)|36.0|null|['FPN', 'ResNet']|null
FSAF (ResNet-50)|35.9|null|['ResNet']|null
GHM-C + GHM-R (RetinaNet-FPN-ResNet-50, M=30)|35.8|null|['FPN']|null
Online Fg Bal. Sampling+Hard Negative Mining (ResNet-50)|35.6|null|['ResNet']|null
M2Det (ResNet-1o1, 320x320)|34.1|null|['ResNet']|null
Faster R-CNN (Res2Net-50)|33.7|null|[']']|null
M2Det (VGG-16, 320x320)|33.2|null|[']']|null
SOLQ (Swin-L, single scale)|null|null|['single scale', 'Transformer']|null
YOLOR-D6 (1280, single-scale, 31 fps)|null|null|[']']|null
EfficientDet-D7x (single-scale)|null|null|['single scale']|null
YOLOR-P6 (1280, single-scale, 72 fps)|null|null|[']']|null
FocalNet-T (SRF, Cascade Mask R-CNN)|null|null|[']']|null
R3-CNN (ResNet-50-FPN, GRoIE)|null|null|['FPN', 'ResNet']|null
Mask R-CNN (HRNetV2p-W32, cascade)|null|null|[']']|null
Shift-T|null|null|[']']|null
DyHead (ResNeXt-64x4d-101-DCN, multi scale)|null|null|[']}]</script']|null
