name|accuracy|params|tags|id
Sparse R-CNN (PVTv2-B2)|50.1|null|[']']|2106.13797v7
Pix2seq (ViT-L)|50.0|null|[']']|2109.10852v2
BoTNet 200 (Mask R-CNN, single scale, 72 epochs)|49.7|null|['Transformer', 'single scale']|2101.11605v2
BoTNet 152 (Mask R-CNN, single scale, 72 epochs)|49.5|null|['Transformer', 'single scale']|2101.11605v2
REGO-Deformable DETR-X101|49.1|null|[']']|2112.04632v2
CenterMask+VoVNet99 (multi-scale)|48.6|null|['multiscale']|1911.06667v6
Mask R-CNN (ResNeXt-152-FPN, cascade)|48.6|null|['FPN', 'ResNeXt']|1811.08883v1
UniverseNet-20.08 (Res2Net-50, DCN, single-scale)|48.5|null|['DCN', 'single scale']|2103.14027v3
XCiT-M24/8|48.5|null|[']']|2106.09681v2
ELSA-S (Mask RCNN)|48.3|null|[']']|2112.12786v1
XCiT-S24/8|48.1|null|[']']|2106.09681v2
GCNet (ResNeXt-101 + DCN + cascade + GC r16)|47.9|null|['GCN', 'DCN', 'ResNeXt']|1904.11492v1
MAE-Det(MAE-Det-L+GFLV2)|47.8|null|[']']|2111.13336v5
Res2Net101+HTC|47.5|null|[']']|1904.01169v3
Mask R-CNN (ResNet-101-FPN, GN, Cascade)|47.4|null|['FPN', 'ResNet']|1811.08883v1
Pix2seq (R50-C4)|47.3|null|[']']|2109.10852v2
Pix2seq (ViT-B)|47.1|null|[']']|2109.10852v2
HTC (HRNetV2p-W48)|47.0|null|[']']|1908.07919v2
PatchConvNet-S120 (Mask R-CNN)|47.0|null|[']']|2112.13692v1
RPDet (ResNeXt-101-DCN, multi-scale)|46.8|null|['DCN', 'multiscale', 'ResNeXt']|1904.11490v2
DyHead (ResNet-101)|46.5|null|[']']|2106.08322v1
Mask R-CNN (ResNeXt-152-FPN)|46.4|null|['FPN', 'ResNeXt']|1811.08883v1
RPDet (ResNet-101-DCN, multi-scale)|46.4|null|['DCN', 'multiscale', 'ResNet']|1904.11490v2
PatchConvNet-S60 (Mask R-CNN)|46.4|null|[']']|2112.13692v1
Cascade Mask R-CNN (ResNet-50)|46.3|null|[']']|1512.03385v1
HoughNet (HG-104, MS)|46.1|null|[']']|2007.02355v3
Mask R-CNN (HRNetV2p-W48, cascade)|46.0|null|[']']|1908.07919v2
BoTNet 50 (72 epochs)|45.9|null|['Transformer']|2101.11605v2
Sparse R-CNN (ResNet-101, learnable proposals, random crop aug, FPN)|45.6|null|['FPN', 'ResNet']|2011.12450v2
CenterMask+VoVNetV2-99 (single-scale)|45.6|null|['single scale']|1911.06667v6
HTC (HRNetV2p-W32)|45.3|null|[']']|1908.07919v2
Mask R-CNN (ResNeXt-152 + 1 NL)|45.0|null|['ResNeXt']|1711.07971v3
Pix2seq (R101-DC5)|45.0|null|['ResNet-101']|2109.10852v2
Mask R-CNN-FPN (AOGNet-40M)|44.9|null|['FPN']|1908.01259v3
DETR-DC5 (ResNet-101)|44.9|null|['ResNet']|2005.12872v3
Mask R-CNN (VoVNetV2-99, single-scale)|44.9|null|['single scale']|1911.06667v6
R3-CNN (ResNet-50-FPN, DCN)|44.8|null|['DCN', 'FPN', 'ResNet']|2104.01329v2
RPDet (ResNet-101-DCN, multi-scale train)|44.8|null|['DCN', 'multiscale', 'ResNet']|1904.11490v2
RetinaNet (ViL-Base, multi-scale, 3x)|44.7|null|['Transformer', 'multiscale']|2103.15358v2
Cascade R-CNN (HRNetV2p-W48)|44.6|null|[']']|1908.07919v2
CenterMask+VoVNetV2-57 (single-scale)|44.6|null|['single scale']|1911.06667v6
Sparse R-CNN (ResNet-50, learnable proposals, random crop aug, FPN)|44.5|null|['FPN', 'ResNet']|2011.12450v2
GFL (ResNet-50)|44.5|null|[']']|1512.03385v1
RPDet (ResNeXt-101-DCN)|44.5|null|['DCN', 'ResNeXt']|1904.11490v2
CenterMask+X101-32x8d (single-scale)|44.4|null|['single scale']|1911.06667v6
RetinaNet (ViL-Base)|44.3|null|['Transformer']|2103.15358v2
R3-CNN (ResNet-50-FPN, GC-Net)|44.3|null|[']']|2104.01329v2
Faster RCNN-R101-FPN+|44|null|['FPN']|2005.12872v3
Cascade R-CNN (HRNetV2p-W32)|43.7|null|[']']|1908.07919v2
Sparse R-CNN (ResNet-101, FPN)|43.5|null|['FPN', 'ResNet']|2011.12450v2
ATSS (ResNet-50)|43.5|null|[']']|1512.03385v1
PVT-Large (RetinaNet 3x,MS)|43.4|null|[']']|2102.12122v2
ExtremeNet (Hourglass-104, multi-scale)|43.3|null|['multiscale']|1901.08043v3
Pix2seq (R50-DC5 )|43.2|null|['ResNet-50']|2109.10852v2
HTC (cascade)|43.2|null|[']']|1901.07518v2
Mask R-CNN-FPN (ResNeXt-101, GN+WS)|43.12|null|['FPN', 'ResNeXt']|1903.10520v2
HTC (HRNetV2p-W18)|43.1|null|[']']|1908.07919v2
Mask R-CNN (ResNet-101, DCNv2)|43.1|null|['DCN', 'ResNet']|1811.11168v2
HoughNet (HG-104)|43.0|null|[']']|2007.02355v3
Faster R-CNN (FPN, X-volution)|42.8|null|['FPN']|2106.02253v2
Cascade R-CNN (ResNet-101-FPN+, cascade)|42.7|null|['FPN', 'ResNet']|1712.00726v1
PVT-Large (RetinaNet 1x)|42.6|null|[']']|2102.12122v2
CornerNet-Saccade (Hourglass-54)|42.6|null|[']']|1904.08900v2
Pix2seq (R50)|42.6|null|[']']|2109.10852v2
Mask R-CNN (ResNet-101-FPN, GroupNorm, long)|42.3|null|['FPN', 'ResNet']|1803.08494v3
Sparse R-CNN (ResNet-50, FPN)|42.3|null|['FPN', 'ResNet']|2011.12450v2
Mask R-CNN (HRNetV2p-W32)|42.3|null|[']']|1908.07919v2
DETR-ResNet50 with iRPE-K (300 epochs)|42.3|null|[']']|2107.14222v1
TridentNet (ResNet-101)|42|null|['ResNet']|1901.01892v2
R3-CNN (ResNet-50-FPN)|42|null|['FPN', 'ResNet']|2104.01329v2
Faster R-CNN (HRNetV2p-W48)|41.8|null|[']']|1908.07919v2
Faster R-CNN (LIP-ResNet-101)|41.7|null|[']']|1908.04156v3
Faster R-CNN (ResNet-101, DCNv2)|41.7|null|['DCN', 'ResNet']|1811.11168v2
FSAF (ResNeXt-101, anchor-based branches)|41.6|null|['ResNeXt']|1903.00621v1
CornerNet-Saccade (Hourglass-104)|41.4|null|[']']|1904.08900v2
Grid R-CNN (ResNet-101-FPN)|41.3|null|['FPN', 'ResNet']|1811.12030v1
Cascade R-CNN (HRNetV2p-W18)|41.3|null|[']']|1908.07919v2
CenterNet511 (Hourglass-52)|41.3|null|[']']|1904.08189v3
RetinaMask (ResNet-101-FPN)|41.1|null|['FPN', 'ResNet']|1901.03353v1
PoolFormer-S36 (Mask R-CNN)|41.0|null|[']']|2111.11418v3
Faster R-CNN (HRNetV2p-W32)|40.9|null|[']']|1908.07919v2
VirTex Mask R-CNN (ResNet-50-FPN)|40.9|null|['FPN', 'ResNet']|2006.06666v3
Mask R-CNN (ResNet-101 + 1 NL)|40.8|null|['ResNet']|1711.07971v3
Mask R-CNN (ResNet-50-FPN, GroupNorm, long)|40.8|null|['FPN', 'ResNet']|1803.08494v3
RPDet (ResNet-50, multi-scale train)|40.8|null|['multiscale', 'ResNet']|1904.11490v2
DETR-ResNet50 with iRPE-K (150 epochs)|40.8|null|[']']|2107.14222v1
Faster R-CNN+aLRP Loss (ResNet-50, 500 scale)|40.7|null|['ResNet']|2009.13592v4
PPDet (ResNet-101-FPN)|40.5|null|['FPN', 'ResNet']|2008.01167v2
GCnet (ResNet-50-FPN, GRoIE)|40.3|null|['FPN', 'ResNet']|1904.11492v1
Mask R-CNN (ResNet-50-FPN, GroupNorm)|40.3|null|['FPN', 'ResNet']|1803.08494v3
Cascade R-CNN (ResNet-50-FPN+)|40.3|null|['FPN', 'ResNet']|1712.00726v1
ExtremeNet (Hourglass-104, single-scale)|40.3|null|['single scale']|1901.08043v3
RPDet (ResNet-101)|40.3|null|['ResNet']|1904.11490v2
RetinaNet+aLRP Loss (ResNet-50, 500 scale)|40.2|null|['ResNet']|2009.13592v4
