name,accuracy,params,tags,id
MLP-DecAug,69.60},null,[']'],2012.09382v1
MLP-REx,68.70},null,[']'],2003.00688v5
MLP-IRM,66.9},null,[']'],1907.02893v3
F-IRMGames,59.91},null,[']'],2002.04692v2
MLP-ERM,17.10},null,[']'],1702.02030v1
JiGen,11.91},null,[']}]</script'],1903.06864v2
