Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Image Generation,CIFAR-10,"GENIE (Learned Sampler, NFEs=20)",3.94,0.962352254487086,,[],2210.05475v1
Image Generation,CIFAR-10,GENIE (NFEs=20),3.94,0.962352254487086,,[],2210.05475v1
Image Generation,CIFAR-10,VDM (FID),4.0,0.9614767255216693,,[],2107.00630v6
Image Generation,CIFAR-10,WaveDiff,4.01,0.9613308040274332,,['Diffusion'],2211.16152v2
Image Generation,CIFAR-10,DiffAugment-CR-BigGAN,4.3,0.9570990806945864,,['GAN'],2006.10738v4
Image Generation,CIFAR-10,"GENIE (Learned Sampler, NFEs=15)",4.49,0.9543265723041005,,[],2210.05475v1
Image Generation,CIFAR-10,GENIE (NFEs=15),4.49,0.9543265723041005,,[],2210.05475v1
Image Generation,CIFAR-10,PD (NFE=2),4.51,0.9540347293156282,,['Diffusion'],2202.00512v2
Image Generation,CIFAR-10,ViTGAN with StyleGAN2,4.57,0.9531592003502115,,['Transformer'],2107.04589v1
Image Generation,CIFAR-10,Blackout Diffusion,4.58,0.9530132788559755,,[],2305.11089v1
Image Generation,CIFAR-10,DiffAugment-BigGAN,4.61,0.9525755143732672,,['GAN'],2006.10738v4
Image Generation,CIFAR-10,INDM (NLL),4.79,0.9499489274770173,,[],2205.13699v3
Image Generation,CIFAR-10,"GENIE (Learned Sampler, NFEs=10)",5.28,0.9427987742594484,,[],2210.05475v1
Image Generation,CIFAR-10,DiffAugment-StyleGAN2,5.79,0.9353567780534072,,['GAN'],2006.10738v4
Image Generation,CIFAR-10,"CT (Direct Generation, NFE=2)",5.83,0.9347730920764629,,[],2303.01469v2
Image Generation,CIFAR-10,GENIE (NFEs=10),5.97,0.9327301911571575,,[],2210.05475v1
Image Generation,CIFAR-10,ViTGAN,6.66,0.9226616080548665,,['Transformer'],2107.04589v1
Image Generation,CIFAR-10,LSGM (NLL),6.89,0.9193054136874361,,"['VAE', 'Score-based']",2106.05931v3
Image Generation,CIFAR-10,MIX-BigGAN,8.17,0.9006274624252152,,['GAN'],2007.06418v2
Image Generation,CIFAR-10,LeCAM (BigGAN + DA),8.46,0.8963957390923682,,[],2104.03310v1
Image Generation,CIFAR-10,"CT (Direct Generation, NFE=1)",8.7,0.8928936232307019,,[],2303.01469v2
Image Generation,CIFAR-10,PGMGAN,8.93,0.8895374288632716,,[],2104.00816v2
Image Generation,CIFAR-10,BigGAN-OBRS,8.98,0.888807821392091,,[],2311.00460v2
Image Generation,CIFAR-10,PD (NFE=1),9.12,0.8867649204727857,,['Diffusion'],2202.00512v2
Image Generation,CIFAR-10,TransGAN,9.26,0.8847220195534803,,['GAN'],2102.07074v4
Image Generation,CIFAR-10,Denoising Student,9.36,0.8832628046111192,,[],2101.02388v1
Image Generation,CIFAR-10,EBM-DRL (T6),9.6,0.8797606887494528,,['EBM'],2012.08125v2
Image Generation,CIFAR-10,SNGAN + DGflow,9.62,0.8794688457609806,,"['Flow-based', 'GAN']",2012.00780v4
Image Generation,CIFAR-10,CR +LT-BigGAN,9.8,0.8768422588647308,,['GAN'],2010.09893v1
Image Generation,CIFAR-10,EAGAN (G+D),9.91,0.8752371224281337,,[],2111.15097v2
Image Generation,CIFAR-10,EAGAN (G),10.14,0.8718809280607033,,[],2111.15097v2
Image Generation,CIFAR-10,PPOGAN,10.7,0.8637093243834817,,['GAN'],2006.06900v4
Image Generation,CIFAR-10,NCSNv2,10.87,0.861228658981468,,['Score-based'],2006.09011v2
Image Generation,CIFAR-10,StyleGAN V2,11.07,0.8583102290967459,,['GAN'],2006.10738v4
Image Generation,CIFAR-10,"GENIE (Learned Sampler, NFEs=5)",11.2,0.8564132496716765,,[],2210.05475v1
Image Generation,CIFAR-10,E2GAN,11.26,0.8555377207062601,,['GAN'],2007.09180v1
Image Generation,CIFAR-10,MSGAN,11.4,0.8534948197869546,,['GAN'],1911.06997v2
Image Generation,CIFAR-10,aw-AutoGAN,11.82,0.8473661170290384,,[],2012.03149v2
Image Generation,CIFAR-10,DEGAS,12.01,0.8445936086385525,,[],1912.00606v3
Image Generation,CIFAR-10,VAEBM w/ persistent chain,12.19,0.8419670217423026,,['VAE'],2010.00654v3
Image Generation,CIFAR-10,VAEBM w/o persistent chain,12.26,0.8409455712826499,,['VAE'],2010.00654v3
Image Generation,CIFAR-10,aw-SN-GAN,12.32,0.8400700423172334,,[],2012.03149v2
Image Generation,CIFAR-10,AutoGAN,12.42,0.8386108273748722,,['GAN'],1908.03835v1
Image Generation,CIFAR-10,NDA,12.61,0.8358383189843864,,[],2102.05113v1
Image Generation,CIFAR-10,WGAN-ALP,12.96,0.8307310666861228,,['GAN'],1907.05681v3
Image Generation,CIFAR-10,DDPM (L),13.51,0.8227053845031373,,[],2006.11239v2
Image Generation,CIFAR-10,GENIE (NFEs=5),13.9,0.8170144462279294,,[],2210.05475v1
Image Generation,CIFAR-10,CuGAN,14.41,0.8095724500218883,,[],1910.08967v2
Image Generation,CIFAR-10,CR-GAN (ResNet),14.56,0.8073836276083467,,"['GAN', 'ResNet']",1910.12027v2
Image Generation,CIFAR-10,BigGAN,14.73,0.804902962206333,,['GAN'],1809.11096v2
Image Generation,CIFAR-10,SS-GAN (sBN),15.65,0.7914781847366117,,['GAN'],1811.11212v2
Image Generation,CIFAR-10,PA-GAN,16.1,0.7849117174959871,,['GAN'],1901.10422v3
Image Generation,CIFAR-10,MMD-GAN-rep,16.21,0.78330658105939,,['GAN'],1812.09916v4
Image Generation,CIFAR-10,SNGAN-DCD (Latent),16.24,0.7828688165766818,,[],2004.01704v1
Image Generation,CIFAR-10,Pi-net,16.79,0.7748431343936962,,[],2003.03828v2
Image Generation,CIFAR-10,ProdPoly,16.79,0.7748431343936962,,[],2006.13026v2
Image Generation,CIFAR-10,Dist-GAN,17.61,0.7628775718663359,,['GAN'],1803.08887v3
Image Generation,CIFAR-10,DC-VAE,17.9,0.758645848533489,,['VAE'],2011.10063v1
Image Generation,CIFAR-10,NK-CA,18.27,0.7532467532467533,,[],2303.05497v2
Image Generation,CIFAR-10,CoProGAN,19.66,0.7329636655479352,,[],2108.07387v1
Image Generation,CIFAR-10,SRN-GANs,19.83,0.7304830001459215,,['GAN'],1906.04659v3
Image Generation,CIFAR-10,PeerGAN,21.55,0.7053845031373122,,[],2101.07524v3
Image Generation,CIFAR-10,SNGAN-DCD (Pixel),21.67,0.7036334452064789,,[],2004.01704v1
Image Generation,CIFAR-10,SN-GANs,21.7,0.7031956807237706,,['GAN'],1802.05957v1
