Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Image Classification,Noisy MNIST Motion,PCGAN-CHAR,99.2,1.0,,[],1908.08987v1
Image Classification,Noisy MNIST Motion,Pixel-level RC,97.2,0.0,,[],1806.08037v1
