Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Image Classification,"CIFAR-10, 40% Symmetric Noise",FaMUS,95.37,1.0,,[],2104.15092v1
Image Classification,"CIFAR-10, 40% Symmetric Noise",MentorMix,94.2,0.0,,[],2104.15092v1
