Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Image Classification,ImageNet,DAT-S,83.7,0.7402985074626866,50M,[],2201.00520v3
Image Classification,ImageNet,NAT-Small,83.7,0.7402985074626866,51M,"['Transformer', 'ImageNet-1k only', 'Neighborhood Attention', 'NAT Transformer']",2204.07143v5
Image Classification,ImageNet,QnA-ViT-Base,83.7,0.7402985074626866,56M,[],2112.11435v2
Image Classification,ImageNet,RevBiFPN-S5,83.7,0.7402985074626866,82M,"['Reversible', 'FPN', 'CNN', 'ImageNet-1k only']",2206.14098v2
Image Classification,ImageNet,Pyramid ViG-B,83.7,0.7402985074626866,92.6M,[],2206.00272v3
Image Classification,ImageNet,Twins-SVT-L,83.7,0.7402985074626866,99.2M,"['ImageNet-1k only', 'Transformer']",2104.13840v4
Image Classification,ImageNet,TransBoost-ViT-S,83.67,0.7394029850746268,22.05M,[],2205.13331v4
Image Classification,ImageNet,XCiT-S,83.65,0.7388059701492538,,[],2308.09372v2
Image Classification,ImageNet,MaxViT-T (224res),83.62,0.7379104477611941,,[],2204.01697v4
Image Classification,ImageNet,Wave-ViT-S,83.61,0.7376119402985073,,[],2308.09372v2
Image Classification,ImageNet,LITv2-B,83.6,0.7373134328358206,,[],2205.13213v5
Image Classification,ImageNet,MultiGrain PNASNet (500px),83.6,0.7373134328358206,,"['CNN', 'ImageNet-1k only']",1902.05509v2
Image Classification,ImageNet,MAE (ViT-L),83.6,0.7373134328358206,,"['Transformer', 'ImageNet-1k only']",2111.06377v2
Image Classification,ImageNet,PAT-B,83.6,0.7373134328358206,,[],2211.16961v5
Image Classification,ImageNet,FixEfficientNet-B2,83.6,0.7373134328358206,9.2M,"['ImageNet-1k only', 'EfficientNet']",2003.08237v5
Image Classification,ImageNet,CAFormer-S18 (224 res),83.6,0.7373134328358206,26M,[],2210.13452v3
Image Classification,ImageNet,IPT-B,83.6,0.7373134328358206,39.3M,[],2212.03035v1
Image Classification,ImageNet,ViTAE-B-Stage,83.6,0.7373134328358206,48.5M,"['Transformer', 'ImageNet-1k only']",2106.03348v4
Image Classification,ImageNet,ResT-Large,83.6,0.7373134328358206,51.63M,"['ImageNet-1k only', 'Transformer']",2105.13677v5
Image Classification,ImageNet,NFNet-F0,83.6,0.7373134328358206,71.5M,"['CNN', 'ImageNet-1k only']",2102.06171v1
Image Classification,ImageNet,"SE-ResNeXt-101, 64x4d, S=2(320px)",83.6,0.7373134328358206,98M,[],2011.14660v4
Image Classification,ImageNet,ResMLP-B24/8,83.6,0.7373134328358206,116M,"['ImageNet-1k only', 'MLP']",2105.03404v2
Image Classification,ImageNet,"TinySaver(EfficientFormerV2_l, 0.01 Acc drop)",83.52,0.7349253731343282,,"['MoE', 'Early Exit', 'Dynamic Model Arch']",2403.17726v1
Image Classification,ImageNet,BoTNet T5,83.5,0.7343283582089551,,"['ImageNet-1k only', 'Transformer']",2101.11605v2
Image Classification,ImageNet,InternImage-T,83.5,0.7343283582089551,30M,[],2211.05778v4
Image Classification,ImageNet,PatchConvNet-B60,83.5,0.7343283582089551,99.4M,"['ImageNet-1k only', 'PatchConvnet']",2112.13692v1
Image Classification,ImageNet,ViT-B (hMLP + BeiT),83.4,0.7313432835820896,,[],2203.09795v1
Image Classification,ImageNet,UniFormer-S,83.4,0.7313432835820896,22M,[],2201.09450v3
Image Classification,ImageNet,ViT-S @384 (DeiT III),83.4,0.7313432835820896,22M,[],2204.07118v1
