Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Image Classification,CIFAR-10,NoisyDARTS-A-t,98.0,0.9743589743589745,,[],2005.03566v3
Image Classification,CIFAR-10,LeViT-192,98.0,0.9743589743589745,,['Transformer'],2104.01136v2
Image Classification,CIFAR-10,ResNet-152-SAM,98.0,0.9743589743589745,,['ResNet'],2106.01548v3
Image Classification,CIFAR-10,ViT-S/16- SAM,98.0,0.9743589743589745,,['Transformer'],2106.01548v3
Image Classification,CIFAR-10,Bamboo (ViT-B/16),98.0,0.9743589743589745,,[],2203.07845v2
Image Classification,CIFAR-10,NAT-M3,98.0,0.9743589743589745,6.2M,[],2005.05859v2
Image Classification,CIFAR-10,LeViT-256,98.0,0.9743589743589745,,['Transformer'],2104.01136v2
Image Classification,CIFAR-10,PyramidNet + AA (AMP),98.0,0.9743589743589745,27.22M,[],2010.04925v4
Image Classification,CIFAR-10,EnAET,98.0,0.9743589743589745,36.5M,[],1911.09265v2
Image Classification,CIFAR-10,LeViT-384,98.0,0.9743589743589745,,['Transformer'],2104.01136v2
Image Classification,CIFAR-10,ConvMLP-S,98.0,0.9743589743589745,,[],2109.04454v2
Image Classification,CIFAR-10,MUXNet-m,98.0,0.9743589743589745,2.1M,[],2003.13880v2
Image Classification,CIFAR-10,CCT-7/3x1*,98.0,0.9743589743589745,3.76M,['Transformer'],2104.05704v4
Image Classification,CIFAR-10,Proxyless-G + c/o,97.0,0.9487179487179488,5.7M,[],1812.00332v2
Image Classification,CIFAR-10,NAT-M2,97.0,0.9487179487179488,4.6M,[],2005.05859v2
Image Classification,CIFAR-10,WRN-28-10+AutoDropout+RandAugment,97.0,0.9487179487179488,36.5M,[],2101.01761v1
Image Classification,CIFAR-10,SENet + ShakeShake + Cutout,97.0,0.9487179487179488,,[],1709.01507v4
Image Classification,CIFAR-10,HCGNet-A3,97.0,0.9487179487179488,11.4M,[],1908.09699v3
Image Classification,CIFAR-10,Wide-ResNet-28-10,97.0,0.9487179487179488,,[],2209.15031v2
Image Classification,CIFAR-10,ResNeXt-50 (AutoMix),97.0,0.9487179487179488,,[],2103.13027v6
Image Classification,CIFAR-10,ResNet-152x4-AGC (ImageNet-21K),97.0,0.9487179487179488,,[],2106.00116v4
Image Classification,CIFAR-10,Mixer-B/16- SAM,97.0,0.9487179487179488,,[],2106.01548v3
Image Classification,CIFAR-10,CCT-7/3x1+VTM,97.0,0.9487179487179488,,[],2210.07562v1
Image Classification,CIFAR-10,WRN-28-10,97.0,0.9487179487179488,36.5M,[],2103.06132v3
Image Classification,CIFAR-10,HCGNet-A2,97.0,0.9487179487179488,3.1M,[],1908.09699v3
Image Classification,CIFAR-10,WRN + fixup init + mixup + cutout,97.0,0.9487179487179488,18M,[],1901.09321v2
Image Classification,CIFAR-10,TransBoost-ResNet50,97.0,0.9487179487179488,,[],2205.13331v4
Image Classification,CIFAR-10,NoisyDARTS-a,97.0,0.9487179487179488,5.5M,[],2005.03566v3
Image Classification,CIFAR-10,LeViT-128,97.0,0.9487179487179488,,['Transformer'],2104.01136v2
Image Classification,CIFAR-10,DenseNet-BC-190 + batchboost,97.0,0.9487179487179488,25.6M,[],2001.07627v1
Image Classification,CIFAR-10,LeViT-128S,97.0,0.9487179487179488,,['Transformer'],2104.01136v2
Image Classification,CIFAR-10,Shared WRN,97.0,0.9487179487179488,33.5M,[],1902.09701v2
Image Classification,CIFAR-10,Manifold Mixup WRN 28-10,97.0,0.9487179487179488,36.5M,[],1806.05236v7
Image Classification,CIFAR-10,WRN 28-14,97.0,0.9487179487179488,36.5M,[],2007.12927v4
Image Classification,CIFAR-10,SparseSwin,97.0,0.9487179487179488,17.58M,[],2309.05224v1
Image Classification,CIFAR-10,WRN-28-10 with reSGHMC,97.0,0.9487179487179488,36.5M,[],2008.05367v3
Image Classification,CIFAR-10,NAT-M1,97.0,0.9487179487179488,4.3M,[],2005.05859v2
Image Classification,CIFAR-10,ResNet-50-SAM,97.0,0.9487179487179488,25M,['ResNet'],2106.01548v3
Image Classification,CIFAR-10,kNN-CLIP,97.0,0.9487179487179488,,"['Memory-Centric', 'CLIP Pre-trained']",2204.01186v2
Image Classification,CIFAR-10,DenseNet-BC-190 + Mixup,97.0,0.9487179487179488,25.6M,[],1710.09412v2
Image Classification,CIFAR-10,WaveMixLite-144/7,97.0,0.9487179487179488,,[],2205.14375v5
Image Classification,CIFAR-10,Transformer local-attention (NesT-B),97.0,0.9487179487179488,90.1M,['Transformer'],2105.12723v4
Image Classification,CIFAR-10,PyramidNet,97.0,0.9487179487179488,,[],2205.09615v4
Image Classification,CIFAR-10,ShakeShake-2x64d + SWA,97.0,0.9487179487179488,,[],1803.05407v3
