name|accuracy|params|hardware_req|tags|id
MViTv2-H (mageNet-21k pretrain)|88.0|667000000.0|null|['ImageNet-22k']|2112.01526v2
Mixer-H/14 (JFT-300M pre-train)|87.94|null|null|['JFT-300M', 'MLP']|2105.01601v4
UniRepLKNet-L++|87.9|null|null|[']']|2311.15599v2
dBOT ViT-L (CLIP as Teacher)|87.8|null|null|['CLIP data ']|2209.03917v3
MogaNet-XL (384res)|87.8|181000000.0|null|[']']|2211.03295v3
VAN-B6 (22K, 384res)|87.8|200000000.0|null|['ImageNet-22k']|2202.09741v5
RepLKNet-XL|87.8|335000000.0|null|['ImageNet-22k']|2203.06717v4
ConvNeXt-XL (ImageNet-22k)|87.8|350000000.0|null|['CNN', 'ImageNet-22k']|2201.03545v2
MAE (ViT-H, 448)|87.8|656000000.0|null|['Transformer', 'ImageNet-1k only']|2111.06377v2
ViT-L/16|87.76|null|null|['JFT-300M', 'Transformer']|2010.11929v2
HorNet-L (GF)|87.7|null|null|['ImageNet-22k']|2207.14284v3
InternImage-L|87.7|223000000.0|null|[']']|2211.05778v4
ConvFormer-B36 (384 res, 21K)|87.6|100000000.0|null|['ImageNet-22k']|2210.13452v3
BiT-L (ResNet)|87.54|null|null|['ImageNet-22k', 'ResNet']|1912.11370v3
PeCo (ViT-H, 224)|87.5|null|null|['Transformer', 'ImageNet-1k only']|2111.12710v3
ViT-L@224 (cosub)|87.5|null|null|['ImageNet-22k']|2212.04884v1
CAFormer-M36 (384 res, 21K)|87.5|56000000.0|null|['ImageNet-22k']|2210.13452v3
CSWin-L (384 res,ImageNet-22k pretrain)|87.5|173000000.0|null|['ImageNet-22k', 'Transformer']|2107.00652v3
DaViT-L (ImageNet-22k)|87.5|196800000.0|null|['ImageNet-22k']|2204.03645v1
DiNAT-Large (11x11ks; 384res; Pretrained on IN22K@224)|87.5|200000000.0|null|['ImageNet-22k']|2209.15001v3
V-MoE-L/16 (Every-2)|87.41|3400000000.0|null|['JFT-300M', 'Transformer']|2106.05974v1
DiNAT-Large (384x384; Pretrained on ImageNet-22K @ 224x224)|87.4|null|null|['ImageNet-22k']|2209.15001v3
data2vec 2.0|87.4|null|null|['ImageNet-1k only']|Null
UniRepLKNet-B++|87.4|null|null|[']']|2311.15599v2
CAFormer-B36 (224 res, 21K)|87.4|99000000.0|null|['ImageNet-22k']|2210.13452v3
