name|accuracy|params|hardware_req|tags|id
ViT-B@384 (attn finetune)|84.3|null|null|['ImageNet-1k only']|2203.09795v1
BiFormer-S* (IN1k ptretrain)|84.3|null|null|[']']|2303.08810v1
SReT-S (512 res, ImageNet-1K only)|84.3|21300000.0|null|['ImageNet-1k only', 'Transformer']|2111.05297v3
LambdaResNet200|84.3|42000000.0|null|['CNN', 'ImageNet-1k only']|2102.08602v1
MogaNet-B|84.3|44000000.0|null|['CNN']|2211.03295v3
TResNet-XL|84.3|77000000.0|null|['CNN', 'ImageNet-1k only']|
ResNeXt-101 32x8d (semi-weakly sup.)|84.3|88000000.0|null|['ResNeXt']|1905.00546v1
NAT-Base|84.3|90000000.0|null|['Transformer', 'ImageNet-1k only', 'Neighborhood Attention', 'NAT Transformer']|2204.07143v5
Assemble-ResNet152|84.2|null|null|['ImageNet-1k only', 'ResNet']|2001.06268v2
BoTNet T7-320|84.2|null|null|['ImageNet-1k only', 'Transformer']|2101.11605v2
"ViP-B|384"|84.2|null|null|['Transformer', 'ImageNet-1k only']|2107.05790v2
Bamboo (Bamboo-B)|84.2|null|null|['ImageNet-1k only']|2205.10505v3
RegnetY16GF@224 (cosub)|84.2|null|null|['ImageNet-22k']|2212.04884v1
EfficientViT-B3 (r288)|84.2|null|null|[']']|2205.14756v6
InternImage-S|84.2|50000000.0|null|[']']|2211.05778v4
UniNet-B4|84.2|73500000.0|null|[']']|2110.04035v1
DeiT-B|84.2|86000000.0|null|['ImageNet-1k only', 'Transformer']|2012.12877v2
ViT-B @224 (DeiT-III + AugSub)|84.2|86600000.0|null|[']']|Null
RevBiFPN-S6|84.2|142300000.0|null|['Reversible', 'FPN', 'CNN', 'ImageNet-1k only']|2206.14098v2
ResNeXt-101 32\u00d716d|84.2|194000000.0|null|[']']|1805.00932v1
FBNetV5-F-CLS|84.1|null|null|[']']|2111.10007v2
ViT-B-36x1|84.1|null|null|['ImageNet-1k only']|2203.09795v1
ViT-B-18x2|84.1|null|null|['ImageNet-1k only']|2203.09795v1
XCiT-M (+MixPro)|84.1|null|null|[']']|2304.12043v2
NoisyStudent (EfficientNet-B3)|84.1|12000000.0|null|['ImageNet-1k only', 'EfficientNet']|1911.04252v4
CAFormer-S18 (224 res, 21K)|84.1|26000000.0|null|['ImageNet-22k']|2210.13452v3
CAIT-XS-24|84.1|26600000.0|null|['ImageNet-1k only', 'Transformer']|2103.17239v2
ConvFormer-S36 (224 res)|84.1|40000000.0|null|['ImageNet-1k only']|2210.13452v3
LV-ViT-M|84.1|56000000.0|null|['ImageNet-1k only', 'Transformer']|2104.10858v3
Conformer-B|84.1|83300000.0|null|['ImageNet-1k only', 'Transformer']|Null
PatchConvNet-B120|84.1|188600000.0|null|['ImageNet-1k only', 'PatchConvnet']|Null
GPaCo (Vit-B)|84.0|null|null|[']']|2209.12400v2
AIM-7B|84.0|null|null|[']']|Null
FixEfficientNetB4|84.0|19000000.0|null|['ImageNet-1k only', 'EfficientNet']|2003.08237v5
Fix_ResNet50_vd_ssld|84.0|25580000.0|null|['ResNet']|Null
TransNeXt-Tiny (IN-1K supervised, 224)|84.0|28200000.0|null|['Transformer', 'ImageNet-1k only']|2311.17132v1
LambdaResNet152|84.0|35000000.0|null|['ImageNet-1k only', 'ResNet']|2102.08602v1
EfficientNet-B6|84.0|43000000.0|null|['ImageNet-1k only', 'EfficientNet']|1905.11946v5
GC ViT-S|84.0|51000000.0|null|[']']|2206.09959v5
BoTNet T6|84.0|53900000.0|null|['ImageNet-1k only', 'Transformer']|2101.11605v2
PiT-B|84.0|73800000.0|null|['ImageNet-1k only', 'Transformer']|2103.16302v2
DeepMAD-89M|84.0|89000000.0|null|['ImageNet-1k only', 'CNN']|2303.02165v3
Our SP-ViT-S|83.9|null|null|[']']|2206.07662v1
UniRepLKNet-S|83.9|null|null|[']']|2311.15599v2
DAT-T++|83.9|null|null|[']']|2309.01430v1
Wave-ViT-S|83.9|22700000.0|null|[']']|2207.04978v1
EfficientNetV2-S|83.9|24000000.0|null|['ImageNet-1k only', 'EfficientNet']|2104.00298v3
ASF-former-B|83.9|56700000.0|null|[']']|2204.12196v2
DynamicViT-LV-M/0.8|83.9|57100000.0|null|['ImageNet-1k only', 'Transformer']|Null
TNT-B|83.9|65600000.0|null|['ImageNet-1k only', 'Transformer']|2103.00112v3
ResNeSt-200|83.9|70000000.0|null|['CNN', 'ImageNet-1k only']|2004.08955v2
AmoebaNet-A|83.9|469000000.0|null|['CNN', 'ImageNet-1k only']|1802.01548v7
CLCNet (S:B4+D:B7)|83.88|null|null|['ImageNet-1k only']|2205.09612v5
ResNet-RS-270 (256 image res)|83.8|null|null|['ImageNet-1k only', 'ResNet']|2103.07579v1
SENet-350|83.8|null|null|['ImageNet-1k only', 'Transformer']|2101.11605v2
ViT-B @224 (DeiT III)|83.8|null|null|['ImageNet-1k only']|2204.07118v1
SReT-S (384 res, ImageNet-1K only)|83.8|21000000.0|null|['ImageNet-1k only', 'Transformer']|2111.05297v3
DiNAT-Small|83.8|51000000.0|null|['Neighborhood Attention', 'NAT Transformer', 'Transformer', 'ImageNet-1k only']|2209.15001v3
Transformer local-attention (NesT-B)|83.8|68000000.0|null|['ImageNet-1k only', 'Transformer']|2105.12723v4
PVTv2-B4|83.8|82000000.0|null|['Transformer', 'ImageNet-1k only']|2106.13797v7
CA-Swin-S (+MixPro)|83.7|null|null|[']']|2304.12043v2
GTP-ViT-L/P8|83.7|null|null|[']']|2311.03035v2
ConvFormer-S18 (224 res, 21K)|83.7|27000000.0|null|['ImageNet-22k']|2210.13452v3
DAT-S|83.7|50000000.0|null|[']']|2201.00520v3
NAT-Small|83.7|51000000.0|null|['Transformer', 'ImageNet-1k only', 'Neighborhood Attention', 'NAT Transformer']|2204.07143v5
QnA-ViT-Base|83.7|56000000.0|null|[']']|Null
RevBiFPN-S5|83.7|82000000.0|null|['Reversible', 'FPN', 'CNN', 'ImageNet-1k only']|2206.14098v2
Pyramid ViG-B|83.7|92600000.0|null|[']']|2206.00272v3
Twins-SVT-L|83.7|99200000.0|null|['ImageNet-1k only', 'Transformer']|2104.13840v4
TransBoost-ViT-S|83.67|22050000.0|null|[']']|2205.13331v4
XCiT-S|83.65|null|null|[']']|2308.09372v1
MaxViT-T (224res)|83.62|null|null|[']']|2204.01697v4
Wave-ViT-S|83.61|null|null|[']']|2308.09372v1
LITv2-B|83.6|null|null|[']']|2205.13213v5
MultiGrain PNASNet (500px)|83.6|null|null|['CNN', 'ImageNet-1k only']|1902.05509v2
MAE (ViT-L)|83.6|null|null|['Transformer', 'ImageNet-1k only']|2111.06377v2
PAT-B|83.6|null|null|[']']|2211.16961v5
FixEfficientNet-B2|83.6|9200000.0|null|['ImageNet-1k only', 'EfficientNet']|2003.08237v5
CAFormer-S18 (224 res)|83.6|26000000.0|null|[']']|2210.13452v3
IPT-B|83.6|39300000.0|null|[']']|2212.03035v1
ViTAE-B-Stage|83.6|48500000.0|null|['Transformer', 'ImageNet-1k only']|2106.03348v4
ResT-Large|83.6|51630000.0|null|['ImageNet-1k only', 'Transformer']|2105.13677v5
NFNet-F0|83.6|71500000.0|null|['CNN', 'ImageNet-1k only']|2102.06171v1
SE-ResNeXt-101, 64x4d, S=2(320px)|83.6|98000000.0|null|[']']|Null
ResMLP-B24/8|83.6|116000000.0|null|['ImageNet-1k only', 'MLP']|2105.03404v2
BoTNet T5|83.5|null|null|['ImageNet-1k only', 'Transformer']|2101.11605v2
InternImage-T|83.5|30000000.0|null|[']']|2211.05778v4
PatchConvNet-B60|83.5|99400000.0|null|['ImageNet-1k only', 'PatchConvnet']|Null
ViT-B (hMLP + BeiT)|83.4|null|null|[']']|2203.09795v1
UniFormer-S|83.4|22000000.0|null|[']']|2201.09450v3
ViT-S @384 (DeiT III)|83.4|22000000.0|null|[']']|2204.07118v1
MogaNet-S|83.4|25000000.0|null|['CNN']|2211.03295v3
GC ViT-T|83.4|28000000.0|null|[']']|2206.09959v5
ResNeXt-101 32x4d (semi-weakly sup.)|83.4|42000000.0|null|['ResNeXt']|1905.00546v1
Sequencer2D-L|83.4|54000000.0|null|[']']|Null
sMLPNet-B (ImageNet-1k)|83.4|65900000.0|null|['ImageNet-1k only', 'MLP']|2109.05422v2
SE-ResNeXt-101, 64x4d, S=2(416px)|83.34|98000000.0|null|['ImageNet-1k only', 'ResNeXt']|Null
CvT-21 (384 res)|83.3|null|null|['ImageNet-1k only', 'Transformer']|2103.15808v1
"T2T-ViT-14|384"|83.3|null|null|['ImageNet-1k only', 'Transformer']|2101.11986v3
CeiT-S (384 finetune res)|83.3|24200000.0|null|['ImageNet-1k only', 'Transformer']|2103.11816v2
LV-ViT-S|83.3|26000000.0|null|[']']|2104.10858v3
MOAT-0 1K only|83.3|27800000.0|null|[']']|2210.01820v2
EfficientNet-B5|83.3|30000000.0|null|['ImageNet-1k only', 'EfficientNet']|1905.11946v5
Transformer local-attention (NesT-S)|83.3|38000000.0|null|['ImageNet-1k only', 'Transformer']|2105.12723v4
ViL-Medium-D|83.3|39700000.0|null|['ImageNet-1k only', 'Transformer']|2103.15358v2
LITv2-M|83.3|49000000.0|null|[']']|2205.13213v5
Shift-B|83.3|88000000.0|null|[']']|2201.10801v1
MultiGrain PNASNet (450px)|83.2|null|null|['CNN', 'ImageNet-1k only']|1902.05509v2
Meta Pseudo Labels (ResNet-50)|83.2|null|null|[']']|2003.10580v4
UniRepLKNet-T|83.2|null|null|[']']|2311.15599v2
TinyViT-11M-distill (21k)|83.2|11000000.0|null|['ImageNet-22k', 'Transformer']|2207.10666v1
ReXNet-R_2.0|83.2|16500000.0|null|[']']|2007.00992v3
QnA-ViT-Small|83.2|25000000.0|null|[']']|Null
NAT-Tiny|83.2|28000000.0|null|['Transformer', 'ImageNet-1k only', 'Neighborhood Attention', 'NAT Transformer']|2204.07143v5
SE-CoTNetD-101|83.2|40900000.0|null|[']']|2107.12292v1
Next-ViT-B|83.2|44800000.0|null|[']']|2207.05501v4
PVTv2-B3|83.2|45200000.0|null|['Transformer', 'ImageNet-1k only']|2106.13797v7
PatchConvNet-S120|83.2|47700000.0|null|['ImageNet-1k only', 'PatchConvnet']|Null
ViL-Base-D|83.2|55700000.0|null|['ImageNet-1k only', 'Transformer']|2103.15358v2
CycleMLP-B5|83.2|76000000.0|null|['ImageNet-1k only', 'MLP']|2107.10224v4
MultiGrain SENet154 (450px)|83.1|null|null|['CNN', 'ImageNet-1k only']|1902.05509v2
DeepVit-L* (DeiT training recipe)|83.1|null|null|['ImageNet-1k only', 'Transformer']|2103.11886v4
ViT-S @224 (DeiT III, 21k)|83.1|null|null|[']']|2204.07118v1
MKD ViT-S|83.1|null|null|[']']|2202.07940v1
ViT-S@224 (cosub)|83.1|null|null|['ImageNet-22k']|2212.04884v1
PAT-S|83.1|null|null|[']']|2211.16961v5
TinyViT-21M|83.1|21000000.0|null|['ImageNet-1k only', 'Transformer']|2207.10666v1
sMLPNet-S (ImageNet-1k)|83.1|48600000.0|null|['ImageNet-1k only', 'MLP']|2109.05422v2
Pyramid ViG-M|83.1|51700000.0|null|[']']|2206.00272v3
SwinV2-Ti|83.09|null|null|[']']|2308.09372v1
gSwin-S|83.01|39800000.0|null|['ImageNet-1k only', 'Swin-Transformer', 'MLP']|2208.11718v1
MultiGrain SENet154 (400px)|83.0|null|null|['CNN', 'ImageNet-1k only']|1902.05509v2
CvT-13 (384 res)|83.0|20000000.0|null|['ImageNet-1k only', 'Transformer']|2103.15808v1
ResNet50_vd_ssld|83.0|25580000.0|null|['ImageNet-1k only', 'ResNet']|Null
ConvFormer-S18 (224 res)|83.0|27000000.0|null|['ImageNet-1k only']|2210.13452v3
MViT-B-16|83.0|37000000.0|null|['Transformer', 'ImageNet-1k only']|2104.11227v1
ResNeSt-101|83.0|48000000.0|null|['CNN', 'ImageNet-1k only']|2004.08955v2
RevBiFPN-S4|83.0|48700000.0|null|['Reversible', 'FPN', 'CNN', 'ImageNet-1k only']|2206.14098v2
ZenNAS (0.8ms)|83.0|183000000.0|null|[']']|2102.01063v4
NASViT (supernet)|82.9|null|null|[']']|Null
DeiT-B (+MixPro)|82.9|null|null|[']']|2304.12043v2
IPT-S|82.9|24300000.0|null|[']']|2212.03035v1
ViL-Medium-W|82.9|39800000.0|null|['ImageNet-1k only', 'Transformer']|2103.15358v2
GFNet-H-B|82.9|54000000.0|null|['Transformer', 'ImageNet-1k only']|Null
Oct-ResNet-152 (SE)|82.9|66800000.0|20771.0|['CNN', 'ImageNet-1k only']|1904.05049v3
PNASNet-5|82.9|86100000.0|null|['CNN', 'ImageNet-1k only']|1712.00559v3
Harm-SE-RNX-101 64x4d (320x320, Mean-Max Pooling)|82.85|88200000.0|null|['CNN', 'ImageNet-1k only']|2001.06570v3
GTP-LV-ViT-M/P8|82.8|null|null|[']']|2311.03035v2
FunMatch - T384+224 (ResNet-50)|82.8|null|null|['CNN', 'ImageNet-1k only']|2106.05237v2
CA-Swin-T (+MixPro)|82.8|null|null|[']']|2304.12043v2
VAN-B2|82.8|26600000.0|null|[']']|2202.09741v5
DaViT-T|82.8|28300000.0|null|['ImageNet-1k only', 'Transformer']|2204.03645v1
ReXNet_3.0|82.8|34700000.0|null|['ImageNet-1k only']|2007.00992v3
Sequencer2D-M|82.8|38000000.0|null|[']']|Null
CrossViT-18+|82.8|44300000.0|null|['ImageNet-1k only', 'Transformer']|2103.14899v2
Shift-S|82.8|50000000.0|null|[']']|2201.10801v1
HRFormer-B|82.8|50300000.0|null|[']']|2110.09408v3
BoTNet T4|82.8|54700000.0|null|['ImageNet-1k only', 'Transformer']|2101.11605v2
"CCT-14/7x2 | 384"|82.71|null|null|['Transformer', 'ImageNet-1k only']|2104.05704v4
MultiGrain SENet154 (500px)|82.7|null|null|['CNN', 'ImageNet-1k only']|1902.05509v2
PVT-M (+MixPro)|82.7|null|null|[']']|2304.12043v2
ASF-former-S|82.7|19300000.0|null|[']']|2204.12196v2
Container Container|82.7|22100000.0|null|[']']|2106.01401v2
UniNet-B2|82.7|22500000.0|null|[']']|2110.04035v1
DiNAT-Tiny|82.7|28000000.0|null|['Neighborhood Attention', 'Transformer', 'NAT Transformer', 'ImageNet-1k only']|2209.15001v3
ELSA-Swin-T|82.7|28000000.0|null|[']']|2112.12786v1
NASNET-A(6)|82.7|88900000.0|1648.0|['CNN', 'ImageNet-1k only']|1707.07012v4
RVT-B*|82.7|91800000.0|null|['ImageNet-1k only', 'Transformer']|2105.07926v4
FBNetV5-C-CLS|82.6|null|null|[']']|2111.10007v2
MultiGrain PNASNet (400px)|82.6|null|null|['CNN', 'ImageNet-1k only']|1902.05509v2
ViT-S-24x2|82.6|null|null|[']']|2203.09795v1
FixEfficientNet-B1|82.6|7800000.0|null|['ImageNet-1k only', 'EfficientNet']|2003.08237v5
EfficientNet-B4|82.6|19000000.0|null|['ImageNet-1k only', 'EfficientNet']|1905.11946v5
DeiT-B|82.6|22000000.0|null|['ImageNet-1k only', 'Transformer']|2012.12877v2
T2T-ViTt-24|82.6|64400000.0|null|['ImageNet-1k only', 'Transformer']|2101.11986v3
ViT-S|82.54|null|null|[']']|2308.09372v1
CvT-21|82.5|null|null|['ImageNet-1k only', 'Transformer']|2103.15808v1
TransNeXt-Micro (IN-1K supervised, 224)|82.5|12800000.0|null|['Transformer', 'ImageNet-1k only']|2311.17132v1
FixResNet-50 Billion-scale@224|82.5|25600000.0|null|[']']|1906.06423v4
Next-ViT-S|82.5|31700000.0|null|[']']|2207.05501v4
LeViT-384|82.5|39400000.0|null|['ImageNet-1k only', 'Transformer']|2104.01136v2
CrossViT-18|82.5|43300000.0|null|['ImageNet-1k only', 'Transformer']|2103.14899v2
MetaFormer PoolFormer-M48|82.5|73000000.0|null|['Transformer', 'ImageNet-1k only']|2111.11418v3
ConViT-B+|82.5|152000000.0|null|['ImageNet-1k only', 'Transformer']|2103.10697v2
TransBoost-ConvNext-T|82.46|28590000.0|null|[']']|2205.13331v4
ReViT-B|82.4|null|null|[']']|Null
NoisyStudent (EfficientNet-B2)|82.4|9200000.0|null|['ImageNet-1k only', 'JFT-300M', 'EfficientNet']|1911.04252v4
AutoFormer-base|82.4|54000000.0|null|['ImageNet-1k only', 'Transformer']|2107.00651v1
ResNet-152 (A2 + reg)|82.4|60200000.0|null|['CNN', 'ImageNet-1k only']|Null
ConViT-B|82.4|86000000.0|null|['ImageNet-1k only', 'Transformer']|2103.10697v2
DeiT-B with iRPE-K|82.4|87000000.0|null|['ImageNet-1k only', 'Transformer']|2107.14222v1
Mega|82.4|90000000.0|null|[']']|2209.10655v3
ResMLP-B24 + STD|82.4|122600000.0|null|[']']|Null
ViT-B/16-224+HTM|82.37|null|null|[']']|2210.07562v1
ColorNet|82.35|null|null|['CNN', 'ImageNet-1k only']|1902.00267v1
T2T-ViT-24|82.3|null|null|['ImageNet-1k only', 'Transformer']|2101.11986v3
ViT-S-48x1|82.3|null|null|[']']|2203.09795v1
MViTv2-T|82.3|24000000.0|null|[']']|2112.01526v2
SCARLET-A4|82.3|27800000.0|12.0|['CNN', 'ImageNet-1k only']|1908.06022v6
Sequencer2D-S|82.3|28000000.0|null|[']']|Null
CrossViT-15+|82.3|28200000.0|null|['ImageNet-1k only', 'Transformer']|2103.14899v2
GLiT-Bases|82.3|96100000.0|null|['Transformer', 'ImageNet-1k only']|2107.02960v3
EViT (delete)|82.29|null|null|[']']|2308.09372v1
STViT-Swin-Ti|82.22|null|null|[']']|2308.09372v1
BossNet-T1|82.2|null|null|[']']|2103.12424v3
CAIT-XXS-36|82.2|17300000.0|null|['ImageNet-1k only', 'Transformer']|2103.17239v2
CvT-13-NAS|82.2|18000000.0|null|['ImageNet-1k only', 'Transformer']|2103.15808v1
ViTAE-S-Stage|82.2|19200000.0|null|['Transformer', 'ImageNet-1k only']|2106.03348v4
T2T-ViTt-19|82.2|39200000.0|null|['ImageNet-1k only', 'Transformer']|2101.11986v3
Evo-LeViT-384*|82.2|39600000.0|null|['Transformer', 'ImageNet-1k only']|2108.01390v5
Visformer-S|82.2|40200000.0|null|['ImageNet-1k only', 'Transformer']|2104.12533v4
ConViT-S+|82.2|48000000.0|null|['ImageNet-1k only', 'Transformer']|2103.10697v2
ConvMixer-1536/20|82.2|51600000.0|null|['Mixer', 'ImageNet-1k only']|2201.09792v1
DeepVit-L|82.2|55000000.0|null|['ImageNet-1k only', 'Transformer']|2103.11886v4
SENet-152|82.2|66600000.0|null|['Transformer', 'ImageNet-1k only']|2101.11605v2
ResNeXt-101 32x8d|82.2|88000000.0|null|['ImageNet-1k only', 'ResNeXt']|1805.00932v1
TransBoost-Swin-T|82.16|71710000.0|null|[']']|2205.13331v4
ResNeXt-101, 64x4d, S=2(224px)|82.13|88600000.0|null|['ImageNet-1k only', 'ResNeXt']|Null
ToMe-ViT-S|82.11|null|null|[']']|2308.09372v1
AMD(ViT-S/16)|82.1|22000000.0|null|['Vision Transformer', 'ImageNet-1k only']|Null
PatchConvNet-S60|82.1|25200000.0|null|['ImageNet-1k only', 'PatchConvnet']|Null
Pyramid ViG-S|82.1|27300000.0|null|[']']|2206.00272v3
ConvNeXt-T|82.1|29000000.0|null|[']']|2201.03545v2
CycleMLP-B2 + STD|82.1|30100000.0|null|[']']|Null
CeiT-S|82.0|null|null|['ImageNet-1k only', 'Transformer']|2103.11816v2
DIFFQ (\u03bb=1e\u22122)|82.0|null|null|['CNN', 'ImageNet-1k only']|2104.09987v3
NEXcepTion-S|82.0|null|null|[']']|2212.08448v2
GC ViT-XT|82.0|20000000.0|null|[']']|2206.09959v5
Container-Light|82.0|20000000.0|null|['CNN', 'Transformer', 'ImageNet-1k only']|2106.01401v2
ViL-Small|82.0|24600000.0|null|['ImageNet-1k only', 'Transformer']|2103.15358v2
PVTv2-B2|82.0|25400000.0|null|['Transformer', 'ImageNet-1k only']|2106.13797v7
ActiveMLP-T|82.0|27200000.0|null|[']']|2203.06108v2
LITv2-S|82.0|28000000.0|null|[']']|2205.13213v5
DAT-T|82.0|29000000.0|null|[']']|2201.00520v3
Swin-T (SAMix+DM)|81.97|null|null|[']']|Null
EViT (fuse)|81.96|null|null|[']']|2308.09372v1
Swin-T (AutoMix+DM)|81.92|null|null|[']']|Null
GTP-LV-ViT-S/P8|81.9|null|null|[']']|2311.03035v2
T2T-ViT-19|81.9|null|null|['ImageNet-1k only', 'Transformer']|2101.11986v3
ResNet-101 (224 res, Fast Knowledge Distillation)|81.9|null|null|['ImageNet-1k only', 'ResNet']|2112.01528v1
Discrete Adversarial Distillation (ViT-B, 224)|81.9|null|null|[']']|Null
RVT-S*|81.9|23300000.0|null|['ImageNet-1k only', 'Transformer']|2105.07926v4
PiT-S|81.9|23500000.0|null|['ImageNet-1k only', 'Transformer']|2103.16302v2
sMLPNet-T (ImageNet-1k)|81.9|24100000.0|null|['ImageNet-1k only', 'MLP']|2109.05422v2
ViL-Base-W|81.9|79000000.0|null|['ImageNet-1k only', 'Transformer']|2103.15358v2
Swin-T+SSA|81.89|null|null|[']']|2306.01705v1
AOGNet-40M-AN|81.87|null|null|['ImageNet-1k only']|1908.01259v3
FBNetV5|81.8|null|null|['Transformer', 'ImageNet-1k only']|2111.10007v2
NASViT-A5|81.8|null|null|[']']|Null
ResNet-200|81.8|null|null|['ImageNet-1k only', 'ResNet']|2107.12028v2
RepMLPNet-L256|81.8|null|null|['MLP', 'ImageNet-1k only']|2112.11081v2
NEXcepTion-TP|81.8|null|null|[']']|2212.08448v2
NAT-Mini|81.8|20000000.0|null|['Transformer', 'ImageNet-1k only', 'Neighborhood Attention', 'NAT Transformer']|2204.07143v5
DiNAT-Mini|81.8|20000000.0|null|['Neighborhood Attention', 'NAT Transformer', 'ImageNet-1k only', 'Transformer']|2209.15001v3
ResNet-152 (A2)|81.8|60200000.0|null|['ImageNet-1k only']|Null
MEAL V2 (ResNet-50) (380 res)|81.72|25600000.0|null|[']']|2009.08453v2
gSwin-T|81.71|21800000.0|null|['ImageNet-1k only', 'Swin-Transformer', 'MLP']|2208.11718v1
FBNetV5-A-CLS|81.7|null|null|[']']|2111.10007v2
T2T-ViT-14|81.7|null|null|['ImageNet-1k only', 'Transformer']|2105.02358v2
QnA-ViT-Tiny|81.7|16000000.0|null|[']']|Null
AutoFormer-small|81.7|22900000.0|null|['ImageNet-1k only', 'Transformer']|2107.00651v1
Shift-T|81.7|28000000.0|null|[']']|2201.10801v1
BoTNet T3|81.7|33500000.0|null|['ImageNet-1k only', 'Transformer']|2101.11605v2
CvT-13|81.6|null|null|['ImageNet-1k only', 'Transformer']|2103.15808v1
ResNet-152 (SAM)|81.6|null|null|['ImageNet-1k only', 'ResNet']|2010.01412v3
UniRepLKNet-N|81.6|null|null|[']']|2311.15599v2
CloFormer-S|81.6|12300000.0|null|[']']|2303.17803v5
LeViT-256|81.6|17800000.0|null|['ImageNet-1k only', 'Transformer']|2104.01136v2
ReXNet_2.0|81.6|19000000.0|null|['ImageNet-1k only']|2007.00992v3
SE-CoTNetD-50|81.6|23100000.0|null|[']']|2107.12292v1
gMLP-B|81.6|73000000.0|null|['ImageNet-1k only', 'MLP']|2105.08050v2
CoE-Large + CondConv|81.5|null|null|[']']|2107.03815v2
GTP-DeiT-B/P8|81.5|null|null|[']']|2311.03035v2
NEXcepTion-T|81.5|null|null|[']']|2212.08448v2
NoisyStudent (EfficientNet-B1)|81.5|7800000.0|null|['JFT-300M', 'EfficientNet']|1911.04252v4
TinyViT-11M|81.5|11000000.0|null|['ImageNet-1k only', 'Transformer']|2207.10666v1
Transformer local-attention (NesT-T)|81.5|17000000.0|null|['ImageNet-1k only', 'Transformer']|2105.12723v4
T2T-ViT-14|81.5|21500000.0|null|['ImageNet-1k only', 'Transformer']|2101.11986v3
CrossViT-15|81.5|27400000.0|null|['ImageNet-1k only', 'Transformer']|2103.14899v2
PyConvResNet-101|81.49|42300000.0|null|['CNN', 'ImageNet-1k only']|2006.11538v1
NASViT-A4|81.4|null|null|[']']|Null
DeiT-S with iRPE-QKV|81.4|null|null|['ImageNet-1k only', 'Transformer']|2107.14222v1
ViT-S @224 (DeiT III)|81.4|null|null|[']']|2204.07118v1
BiFormer-T (IN1k ptretrain)|81.4|null|null|[']']|2303.08810v1
MobileOne-S4 (distill)|81.4|14800000.0|null|[']']|2206.04040v2
SENet-101|81.4|49200000.0|null|['Transformer', 'ImageNet-1k only']|2101.11605v2
CCT-14/7x2|81.34|22360000.0|null|[']']|2104.05704v4
GFNet-S|81.33|null|null|[']']|2308.09372v1
ResNet-200 (Adversarial Autoaugment)|81.32|null|null|['ImageNet-1k only', 'ResNet']|1912.11188v1
MultiGrain PNASNet (300px)|81.3|null|null|['CNN', 'ImageNet-1k only']|1902.05509v2
ResNet-152|81.3|null|null|['ImageNet-1k only', 'ResNet']|2107.12028v2
ConViT-S|81.3|27000000.0|null|['ImageNet-1k only', 'Transformer']|2103.10697v2
Swin-T|81.3|29000000.0|null|[']']|2103.14030v2
SimpleNetV1-9m-correct-labels|81.24|9500000.0|null|[']']|1608.06037v8
Res2Net-101|81.23|null|null|['CNN', 'ImageNet-1k only']|1904.01169v3
ResNeXt-101 (Debiased+CutMix)|81.2|null|null|['ImageNet-1k only', 'ResNeXt']|Null
PVT-S (+MixPro)|81.2|null|null|[']']|2304.12043v2
Swin-T (PuzzleMix+DM)|81.16|null|null|[']']|Null
TransBoost-ResNet50-StrikesBack|81.15|25560000.0|null|[']']|2205.13331v4
ResNeSt-50|81.13|27500000.0|null|[']']|2004.08955v2
DeiT-S (SAMix+DM)|81.12|null|null|[']']|Null
DeiT-S with iRPE-QK|81.1|null|null|['ImageNet-1k only', 'Transformer']|2107.14222v1
EfficientNet-B3|81.1|12000000.0|null|['ImageNet-1k only', 'EfficientNet']|1905.11946v5
VAN-B1|81.1|13900000.0|null|[']']|2202.09741v5
RevBiFPN-S3|81.1|19600000.0|null|['Reversible', 'FPN', 'CNN', 'ImageNet-1k only']|2206.14098v2
ResNet-152x2-SAM|81.1|236000000.0|null|['ImageNet-1k only', 'ResNet']|2106.01548v3
DynamicViT-S|81.09|null|null|[']']|2308.09372v1
ResNet-101 (SAMix)|81.08|44600000.0|null|['ImageNet-1k only', 'ResNet']|2111.15454v3
NASViT-A3|81.0|null|null|[']']|Null
ViTAE-13M|81.0|13200000.0|null|['Transformer', 'ImageNet-1k only']|2106.03348v4
ResNet-101 (AutoMix)|80.98|44600000.0|null|['ImageNet-1k only', 'ResNet']|2103.13027v6
DeiT-S (AutoMix+DM)|80.91|null|null|[']']|Null
ResNet-101|80.9|null|null|['ImageNet-1k only', 'ResNet']|2107.12028v2
CAIT-XXS-24|80.9|12000000.0|null|['ImageNet-1k only', 'Transformer']|2103.17239v2
DeiT-S with iRPE-K|80.9|22000000.0|null|['ImageNet-1k only', 'Transformer']|2107.14222v1
CentroidViT-S (arXiv, 2021-02)|80.9|22300000.0|null|[']']|2102.08606v2
ResNeXt-101  64x4|80.9|83600000.0|null|['ImageNet-1k only', 'ResNeXt']|1611.05431v2
AlphaNet-A6|80.8|null|null|[']']|2102.07954v2
ResNet-200 (Supervised Contrastive)|80.8|null|null|['ImageNet-1k only', 'ResNet']|2004.11362v5
UniNet-B0|80.8|11500000.0|null|[']']|2207.05420v2
LocalViT-S|80.8|22400000.0|null|['ImageNet-1k only', 'Transformer']|2104.05707v1
DAFT-conv (384 heads, 300 epochs)|80.8|23000000.0|null|[']']|Null
ResMLP-S24|80.8|30000000.0|null|['MLP', 'ImageNet-1k only']|2105.03404v2
TinyViT-5M-distill (21k)|80.7|5400000.0|null|['ImageNet-22k', 'Transformer']|2207.10666v1
CoE-Large|80.7|95300000.0|null|[']']|2107.03815v2
MEAL V2 (ResNet-50) (224 res)|80.67|null|null|[']']|2009.08453v2
